00000000 Sun -568265384.1092885 1112997165.5285919 3445256.675517594 
00000000 Earth -25453237082.73825 146091344286.8109 -2726527.90376544 
00000000 Moon -25063051444.17207 145993003524.0048 -37176189.48633224 
00000000 Mars -198053552217.0065 -131394433406.0654 2072245594.990239 
00000000 Mercury -10043027933.46122 -67828482472.85485 -4760889633.162629 
00000000 Saturn 567491480947.3342 -1388366463018.738 1549265783.457875 
00000000 Venus 107620959580.5564 8974122818.036491 -6131976661.9290695 
00000000 Jupiter 78142229424.64572 -776948891230.0525 1474101024.875402 
00000100 Sun -568266830.2626811 1112996820.7768478 3445296.5616303138 
00000100 Earth -25456223415.604916 146090827674.3229 -2726414.362619116 
00000100 Moon -25066012916.28165 145992580488.1687 -37179579.01211632 
00000100 Mars -198052112933.33478 -131396238403.60445 2072172470.028389 
00000100 Mercury -10039180649.778929 -67828898207.00627 -4761276600.211471 
00000100 Saturn 567492321596.5753 -1388366100240.9807 1549225946.9441538 
00000100 Venus 107620690176.06929 8977599464.429977 -6131913449.631789 
00000100 Jupiter 78143513355.57133 -776948698193.2433 1474071498.8379183 
00360100 Sun -573469714.6376514 1111742408.6457498 3588791.113917371 
00360100 Earth -36128205095.37769 143841077230.20993 -2476145.4823155534 
00360100 Moon -35805722016.9056 144072706614.8613 -35046657.17243606 
00360100 Mars -192745150905.66788 -137807879026.48315 1807652316.5675066 
00360100 Mercury 3933712126.7474594 -67560392248.90527 -6021371638.76903 
00360100 Saturn 570517203148.5511 -1387056557028.4858 1405810686.6513205 
00360100 Venus 105927658008.42825 21412799252.144333 -5863724170.323951 
00360100 Jupiter 82764223276.52599 -776239774197.4586 1367751942.885995 
00720100 Sun -578666029.566716 1110461629.7938452 3732090.220871833 
00720100 Earth -46605094932.11271 140822497091.76447 -2498593.1403005007 
00720100 Moon -46600624882.16703 141200322632.17584 -7881266.581505715 
00720100 Mars -187190318744.7074 -144040359903.091 1540805734.5281146 
00720100 Mercury 17666405889.89224 -63715721185.841286 -6967204750.566851 
00720100 Saturn 573539163534.8871 -1385739933002.6785 1262388293.7022488 
00720100 Venus 102805111848.61949 33575423071.11876 -5516781313.093322 
00720100 Jupiter 87381938484.04303 -775502875969.3267 1261383284.7686274 
01080100 Sun -583855745.3875461 1109154835.598623 3875189.005482428 
01080100 Earth -56833426110.14635 137053339651.59488 -2536697.433609647 
01080100 Moon -57144581821.06722 137244347178.97371 23352823.856917303 
01080100 Mars -181392609655.43954 -150083949866.1026 1271959174.9633946 
01080100 Mercury 30379984771.542072 -56287621463.64746 -7526728572.423922 
01080100 Saturn 576558186950.9312 -1384416233872.948 1118959498.695105 
01080100 Venus 98292009237.82478 45301289702.33387 -5095585835.360645 
01080100 Jupiter 91996489824.31517 -774738005705.5391 1154969318.4886212 
01440100 Sun -589038857.9439857 1107822372.2447872 4018085.1980168168 
01440100 Earth -66761730300.53972 132552452603.34465 -2236256.0964377895 
01440100 Moon -67088031432.34751 132376262010.03313 29782219.71364477 
01440100 Mars -175357398803.39908 -155928964521.24792 1001447480.7047501 
01440100 Mercury 41200800261.90088 -45385458676.29483 -7628735823.93532 
01440100 Saturn 579574257601.6216 -1383085465380.5928 975525032.4541265 
01440100 Venus 92446067032.45062 56431354596.61274 -4605650757.249028 
01440100 Jupiter 96607707961.2461 -773945166610.8895 1048513846.299325 
01800100 Sun -594215381.5409417 1106464587.8013384 4160779.5362389474 
01800100 Earth -76336777549.38293 127340531918.01155 -1539233.0588426006 
01800100 Moon -76371404096.82458 126957093290.81989 6584956.099407711 
01800100 Mars -169090451985.45056 -161565779748.5906 729613816.0738678 
01800100 Mercury 49133064865.80227 -31307047631.94632 -7206213924.435882 
01800100 Saturn 582587359701.5862 -1381747633298.8022 832085626.0276898 
01800100 Venus 85343161953.20523 66813862505.47759 -4053437031.4505944 
01800100 Jupiter 101215423382.10243 -773124362901.728 942020678.5920762 
02160100 Sun -599385345.9446503 1105081848.0299435 4303277.250136339 
02160100 Earth -85504092188.6718 121444397003.62233 -722007.0062279315 
02160100 Moon -85209884742.01088 121176362764.34673 -23898697.48226253 
02160100 Mars -162597934089.91492 -166984846242.00995 456809569.67280376 
02160100 Mercury 53059223938.316505 -14661678173.449167 -6206432085.482815 
02160100 Saturn 585597477475.1537 -1380402743432.7249 688642010.686371 
02160100 Venus 77076481895.24629 76306443698.34349 -3446275804.2135525 
02160100 Jupiter 105819466403.21304 -772275599809.3533 835493633.7822096 
02520100 Sun -604548806.0695256 1103674562.6010234 4445591.555759847 
02520100 Earth -94211730695.84901 114898024680.20001 -92005.16886226452 
02520100 Moon -93811701732.41557 114952220445.91896 -36817908.996053986 
02520100 Mars -155886417267.95624 -172176705125.86917 183394227.51869473 
02520100 Mercury 51820065927.998886 3445950631.5814395 -4613320289.129108 
02520100 Saturn 588604595156.4683 -1379050801619.4822 545194917.92099 
02520100 Venus 67755429772.850136 84778123832.26318 -2792277580.2841945 
02520100 Jupiter 110419667175.71855 -771398883583.4219 728936538.1936842 
02880100 Sun -609705880.7042613 1102243215.3255668 4587750.129891188 
02880100 Earth -102412715089.36272 107740580209.07695 230967.82309539727 
02880100 Moon -102204017263.81633 108073528362.9656 -22582959.22948527 
02880100 Mars -148962888730.95724 -177132004684.40863 -90264786.31221102 
02880100 Mercury 44472905989.565735 21209808955.876057 -2487980487.708181 
02880100 Saturn 591608696989.5355 -1377691813728.1753 401745079.44060373 
02880100 Venus 57504285520.57471 92111216474.31395 -2100229041.0210853 
02880100 Jupiter 115015855691.36919 -770494221495.305 622353225.9425776 
