000000 Sun -568265384.1092885 1112997165.5285919 3445256.675517594 
000000 Earth -25453237082.73825 146091344286.8109 -2726527.90376544 
000000 Moon -25063051444.17207 145993003524.0048 -37176189.48633224 
000010 Sun -568265528.724653 1112997131.0535214 3445260.6641295915 
000010 Earth -25453535716.50494 146091292628.28583 -2726516.5486122323 
000010 Moon -25063347590.781673 145992961222.88098 -37176528.533484645 
036010 Sun -568786146.1109902 1112873032.7085524 3459619.666779407 
036010 Earth -26527916074.56882 145901401033.0712 -2687151.2420938564 
036010 Moon -26130340848.12279 145837091631.00717 -38259475.21505484 
072010 Sun -569306767.7617842 1112748958.1531496 3473978.6683480297 
072010 Earth -27600855364.420963 145703678783.56235 -2650873.3052706793 
072010 Moon -27199054868.565426 145673882325.00882 -39062270.72993886 
108010 Sun -569827393.8533077 1112624907.3553162 3488337.6688374085 
108010 Earth -28672295256.85873 145498139690.75156 -2617758.5256984984 
108010 Moon -28269460199.88155 145503076702.62573 -39578808.86799355 
144010 Sun -570348024.5615821 1112500880.2817068 3502696.668249553 
144010 Earth -29742177747.904396 145284798018.8342 -2587860.3787315884 
144010 Moon -29341507629.398468 145324417838.03632 -39804798.39068178 
180010 Sun -570868660.0623865 1112376876.89763 3517055.6665865425 
180010 Earth -30810445161.458225 145063668475.3799 -2561209.995118241 
180010 Moon -30415128265.150417 145137649226.24652 -39737765.62492441 
216010 Sun -571389300.5312135 1112252897.1670465 3531414.6638505147 
216010 Earth -31877040153.558445 144834766201.71323 -2537815.985705024 
216010 Moon -31490233485.896336 144942515508.24084 -39377068.66705276 
252010 Sun -571909946.1432862 1112128941.0525765 3545773.660043666 
252010 Earth -32941905718.287537 144598106762.923 -2517664.112435061 
252010 Moon -32566714756.940796 144738763222.8221 -38723924.076696046 
288010 Sun -572430597.0735338 1112005008.515501 3560132.6551682553 
288010 Earth -34004985195.2557 144353706136.945 -2500716.8042389513 
288010 Moon -33644443317.20195 144526141632.1619 -37781446.17549358 
